schema	grug_wp40_extreme_candidate_shard_v2
range	3072	3583	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	04ed8f0f990aded37cf5367d245c9a08d2175616d8cd81378321ec7a7e479f1b
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
3072	scored	grudgelands-wp40-extreme-3072	1da916d66dcd8597c3ec915766bded93e07e69f34a3dceae6fc864f456b4413f	1da916d66dcd8597	2137264608385009047	373376321	148176371712	23552	1cf3c977d93be42e82b0bf9777e08e29990756c89d3922af08d517cfd8edfd2e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-482048649	178530549760	42565	01eb1a01c78f583aaeed4892c8ccce8cb336b7622e86e0b4f840fb24fa0d4179	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3073	scored	grudgelands-wp40-extreme-3073	62ce4ffe1ec25ff342473e0a22e6527daf82ed7e9d9e3a5f192f7bb947b124a5	62ce4ffe1ec25ff3	7119716013775675379	2723285	24696061952	23552	689aceccd218d6ea7e648b7bf67dee97caf9535c50ca62f729246da8fcce8db7	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-30584519	44632637440	42565	97f0979bf771b9676cd99d8fe8a7aafc7389a91e45a253821fb35061a65e88e1	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3074	scored	grudgelands-wp40-extreme-3074	a765541db3daa27171d956e2cfbe557bac122f6dfd765d0396bc1b4bdd8c1760	a765541db3daa271	12062139663529976433	-131640121	148176371712	23552	afebfb9ea044f1f7c159afc7283c460583b952028b183baace3a56e0392e285e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	635445513	178530549760	42565	c281c60a7d3a167e28b86fba8f09e95ace3efb27a7147c48249fafa72b9a7b11	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3075	scored	grudgelands-wp40-extreme-3075	97a02a70d287ced6848dc6c46d8ba35a6f1981e540d9f99f24ed916a934887ac	97a02a70d287ced6	10925779360057642710	16118555	9261023232	23552	6832c967ff5bb390b6a81aa4ebb1d94c62a3c1ffc7e8e99b50535bbcda15a661	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	373592713	44632637440	42565	b0ecfd04a128e621b852201d1924fd1a13d103f0635c5d47630bdb2b2e5d40d4	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3076	scored	grudgelands-wp40-extreme-3076	5b755257c486461c02d2345eabe250ad3c5c81e1c4311647f2b5ee2e3796dfd3	5b755257c486461c	6590264166639355420	-83733927	49392123904	23552	bfd543b6cc60c08291709766572ca99ed01c2d0d0a581288b02cd4b5ffd23d03	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1124283	139476992	42565	1b1bcecb78587ad6b16ff1528098ed483169327c00a4250e1daf1ab3ce6c60ca	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3077	scored	grudgelands-wp40-extreme-3077	e467949167d4ab06d6336389e60a8e680493e9a031efcb802ebc289caa58cbcd	e467949167d4ab06	16458286715481926406	-16585835	74088185856	23552	efe27e5a4a44b72e38f7e212100dbaad6ee1768df8a2a4d724cb9d49d6fc3d54	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1406781733	178530549760	42565	6923aea3cc5ba2a9fd73815c13009c4ff0d3b5d79379306549fc26a474491045	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3078	scored	grudgelands-wp40-extreme-3078	c87c61f73334b3f15be399b2c77fd72c8ddd809af78d30d30845f87e64ca48ca	c87c61f73334b3f1	14446529419041616881	39743327	74088185856	23552	df01ad7ba692bc904261a33f1036b73a75d63a171e9489bf5eef31824926f1d9	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	480370009	178530549760	42565	8445b493986f1e4af75f79594fbeb40521a1373b1520700482da4facc2e28b42	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3079	scored	grudgelands-wp40-extreme-3079	f15f92cbce20ddb71921798f4abb3ec00a00d80bff95a3297352b228572ecd5f	f15f92cbce20ddb7	17392781689962421687	-76234087	49392123904	23552	5f51e2ddc3b26781bff70ce748fd21b8b51c6cc24975f5906afca5620756bd66	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	133769377	44632637440	42565	09a7bf48883997237d8b96097617055f7944ecbf0718eec30d138524bb47f7f7	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3080	scored	grudgelands-wp40-extreme-3080	09d3f03a276430ef7f937cf4604fbd72177d4c2aa57db3acd9ffa18464112a8c	09d3f03a276430ef	708173698986946799	32916415	9261023232	23552	d37ac61436ba2e6c00c33ffeb401abd26a1f086187bc803857b777bbc19638b5	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	410314417	178530549760	42565	22d22b86172f1d1dde3a074606cec8cee3619ec69ceb22c31b8aacd53d9fa7a3	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3081	scored	grudgelands-wp40-extreme-3081	94c79935a5f055d3be0f46409de49a2601c8d999e5398bfd4c58026d7120c5e0	94c79935a5f055d3	10720705893675062739	-109710949	74088185856	23552	2e1e8b7372ceda20de1c34fa03017b65a512e337b368f246b415ba394efbd7b8	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	807179753	89265274880	42565	8766ff6cadc91ca5f73a33d0b312f60b5500a3994974511929eee3e51ed3675d	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
