schema	grug_wp40_extreme_candidate_shard_v2
range	3584	4095	512
source_checksum	154cbc31dea35e0aed06f9525ecb3f2d1ac6fa90f0a71e127da591ed16ed067d
boundary_policy_checksum	a32f35c4621d84b50f93253fa7e046fe79553796d6b2752f6344ebf4cea1380f
partition_sha256	de53e1b5cc0cc3fcaee2d58ce3cc391c637b123d430f234c74e4960ad4bee967
authority_dag_sha256	d059686fb3668627b1ed153e5f54aa5572fd96624e43487b2c157dbc4c505949
authority_commit	53be77ee3dab615be39c2e66b6d24a4adccc3d26
authority_tree	c9ac6639048804f15d76bd02101cf9e3a062e9de
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	e92c6e4606081cc4152c1a045946cb78bd69bfbcd95aa009e7010821ba28838e
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
3584	scored	grudgelands-wp40-extreme-3584	9380441db0e01816ac69a34a137e3011a672cdb76be9df1577985bcd26a7c35d	9380441db0e01816	10628570014906587158	-66628111	24696061952	23552	cc0cb79a69b0015f3e28361f2ba214105f07bf8d58efa9e6c211bf9e2764fe5e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	40157521	11158159360	42565	290de15f51643ea6650b79f4af627bbc5a13e552709a81509e0ca5028247ee13	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3585	scored	grudgelands-wp40-extreme-3585	7a1812de28c667d5900e2d81690531f9ca92e4bce6ae541a7c7875922de06a71	7a1812de28c667d5	8797802617444394965	7994137	49392123904	23552	3e8a63d602ad310f549cff61ae01d110479e318a6f87a1365d2e6a08d8aadcf8	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	56164241	8926527488	42565	22cd254e90b0761f15856eb3de98354f95eb52f3c4cb8ae8941d6e9b0e2bce6f	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3586	scored	grudgelands-wp40-extreme-3586	8a4183e95c6c19999cf6c0c97be5f0f0f82b063fe61758b8625dfd32dafd2ab0	8a4183e95c6c1999	9962388889021454745	6307921	6174015488	23552	2af18c0de497b7ce179232a06590cfe65e295ab3eb74242fe4b89f3c5467c434	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	25519273	35706109952	42565	dfef5ddb7741bea8084457ee3aeffd72b7e05cec03ab94ad45ecae0e65db20e5	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3587	scored	grudgelands-wp40-extreme-3587	129dddbedffae298403cb58b9b1eb24ecbb3256e5456bdd341565e178fcb4c9d	129dddbedffae298	1341472075897561752	101301663	49392123904	23552	d06f8f11053ef1c441a9fca43eca95f5a3f97c82d14ff10d08fcfb7e1dde9a2e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	270876657	89265274880	42565	6d4eafbc56fa2b075eabde2c13fa9e8fab42dd1a88c3dc84c393a9af8f0e93c7	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3588	scored	grudgelands-wp40-extreme-3588	34bc58d153f5c119590d7c04e94a2da26c62fbf5de946bab00a8f79fec63fd7a	34bc58d153f5c119	3800009841673879833	-84775709	148176371712	23552	7099bf0103048ec96acedc58113aab1264333109961e991863190827f847caa0	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	54235301	35706109952	42565	fe8113c290feb574885992a925b80df6a71bb85f3ac2bc6d84194f614fc0365a	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3589	scored	grudgelands-wp40-extreme-3589	74dc578775900f136e7a12fe3f8434f7c0e45cedd3a2a5c58c5b5c7917a86c71	74dc578775900f13	8420701642580561683	-106109489	74088185856	23552	6dc7f400e9dd087b4386d8ebc9bd1869edded7a8b41168d8ca4915571a3f47c4	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-51534719	178530549760	42565	f312f6619ec09c2db5aa2eebc78e9d467d8b9b2d2664fa8af10fd279a5c037f0	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3590	scored	grudgelands-wp40-extreme-3590	9ef6b21111db59a9a53d94597b5ca6956c25da3c60b583d344e19e4e9fe56985	9ef6b21111db59a9	11454538488647211433	4632077	4630511616	23552	d29d76656b5ef25efc604904860ae0663dcee2ed6f0427356c9d91b922dcbbad	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	3803479	1394769920	42565	9bdd7dcd6a1fc355b6f64b8ac8a99c172772850f002fbc5846fa9c16e2db9e05	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3591	scored	grudgelands-wp40-extreme-3591	956fedc7c02842c90f63038c8b3853db7a23d2b3e36384fd5e5d8f07438edfd0	956fedc7c02842c9	10768086676244284105	63221201	148176371712	23552	8210a2c4590e31f64c9ed2fd93f010a73b048123685bb0adfbbe1b15bd4d7347	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-141747413	44632637440	42565	a0648e0e211fe4d35ba95c6578b916edbc49edc66c0f3dce1ee4c2ddf717991d	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3592	scored	grudgelands-wp40-extreme-3592	d942051593a784638cea092c04ddf1117b0fc856b64a7679f80fc3176099c34f	d942051593a78463	15655080844922946659	-144848897	37044092928	23552	79eb3c7286dc64b2813c1e7bff5a4d482bc48848ac910e7e05e18b4bec7ce26f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	2377563	348692480	42565	b4b938a98c9e191a848970b70a29aca61373de4cb48e9c751faf0bf50cb76dc3	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
3593	scored	grudgelands-wp40-extreme-3593	c19a55184141c8db20573aa3f5a9f561c45729e24f7e17690df679e22917252e	c19a55184141c8db	13950556358395939035	137694541	74088185856	23552	81a2cf152f19c7856d5a3c1ede6e6fc9913b1eebeeb00194e7344cbd87cd6d1e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-65249471	44632637440	42565	36cf07bc450b7ae9ad9e240709bee2988a9eec25ffe5deb8bc70da124fb5b522	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
