schema	grug_wp40_extreme_candidate_shard_v3
range	2048	2559	512
s1_authority_sha256	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c
s1_source_projection_sha256	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652
authority_dag_sha256	069cce2d637d30538131defbbba0a64bb9cc65f22c71a00fd287183d2518e20a
authority_commit	19fc28d1e1ecb2a18c7bb208d21c448cce12bc7d
authority_tree	bca04056315412b9f19f20bbe554b0693f658c17
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	4f89cd2c92787008672a138ba7e766e0313c5a346235821feb02c2c84e428181
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
2048	scored	grudgelands-wp40-extreme-2048	b294f3afaa3b4406deb9f2e49321cfd4cf3f3388c8d7a41798cf81f2385fdf85	b294f3afaa3b4406	12868177971105186822	128472377	148176371712	23552	68190168bf4b64ef85fa10a290583a79abf7fe01b58d4a13cb672054846a1a77	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-508750259	89265274880	42565	8eac89df749a56e6f8ba11a2d8987cf13129f20513ec34226bbc3d1aff2e8282	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2049	scored	grudgelands-wp40-extreme-2049	efbd9b6b4f2b89a06b6d19e9f24769486e7c7ee2454f5dd1e3a379aa87409686	efbd9b6b4f2b89a0	17275134630855149984	-5532123	12348030976	23552	2b2aa19962d0b2811efe947cdd62eac0c432500a95c8a0939e63a72494eb5dec	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-217522997	35706109952	42565	2131d1a794638b35daa71f47e619d9de4be5288056ef2edc8781bb2ba4a4f209	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2050	scored	grudgelands-wp40-extreme-2050	751a82a38b8e5401cf369c632c5d990805cacbfbafd2b60f5f3f2c1044eb05ac	751a82a38b8e5401	8438200490764686337	7905095	49392123904	23552	4644628044e2605ea3b9ca86a98183321f3fc435d67a014704706daf47e2cfb9	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-18160621	11158159360	42565	f342f549a996e58734b95f154214717eae67a650a508df10c430a595cc18dfca	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2051	scored	grudgelands-wp40-extreme-2051	e9594896acf546d6ceb3802e1f2d108eb68ae53e3fe942e6e30c7d3e976c9f6c	e9594896acf546d6	16814550495748507350	-20685131	148176371712	23552	a1fbb69bc1d89c88181b66e42d9dcf128bd21c1a56e2916017f558eaefcad6a3	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-885655541	178530549760	42565	f05327b12926314fface24723caa2c63a8dc23699203c93e84b070ae5f028d5e	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2052	scored	grudgelands-wp40-extreme-2052	24a466d5817d75579d916d5940cd6834d7126d9017aa733e3b863f01d686ea4b	24a466d5817d7557	2640348348732503383	-7587739	74088185856	23552	6ecb4cd61b774fe465efd46a7081fbad13a2d26cbb45ce9c6926d92e03b58c42	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	146111171	11158159360	42565	443eff2cc9c82549ac4d2f5b94da73b394e7bb71eece09f9b975d66788a8733b	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2053	scored	grudgelands-wp40-extreme-2053	a4ac49b8e9250cb6f9ee275969990843ff8d3b8847e690b2b223ba59aac3aa78	a4ac49b8e9250cb6	11865940176748743862	-215049281	74088185856	23552	389a8e05fe04bc1bc7b1bc655a125e73327b0483bf5f8cab491a17021dd8135e	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	14731789	5579079680	42565	46592a3beee25b410bb61c61ff43aaebebf31dcd078c80ee0bee3969334734bc	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2054	scored	grudgelands-wp40-extreme-2054	68c6eed351e21b4b66b32a0815ce60d8c2843834acc799f46966de59c2cf57e7	68c6eed351e21b4b	7549984416712497995	67317983	148176371712	23552	30c5e270f628fc4fad72dd06fb28b08d6279c1db3d001c3592bd373f3527a635	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	665363503	178530549760	42565	a2beafd37de1bccc959908973d9c2b74bb5798eb375e900d527535f6348ae08a	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2055	scored	grudgelands-wp40-extreme-2055	2e3b79e4167ef265f4da4357d1f1a0ef10855464960a80ee39485fc00669e3bf	2e3b79e4167ef265	3331390369907536485	-2218439	2147483648	23552	096e58d9cb8df5527782b5984d64d287a430aa1b6ed6da064aa9b19389e97a31	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-2858353	178530549760	42565	3755bd0e103aaaf726afb58dc9369e4d688273eb2ec379c94b384386eb9f29a6	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2056	scored	grudgelands-wp40-extreme-2056	78dfe740cea2515520048f4286a12af760d0bb99cc2867896546dfd4031c0186	78dfe740cea25155	8709934469888495957	-134872211	49392123904	23552	1347c0d7284e882cdeefbe8de37784eee6e2d55ed96790f4212286431b72f329	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-895909031	178530549760	42565	96c94fa3cb3e5fa1028d542a61e5eed376634356002dc8e3a5a36a0d80527087	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2057	scored	grudgelands-wp40-extreme-2057	30d70214e69d30b8a34f00deae752e63f1cdffa69cd55ceaf9bebf0e329ef1e2	30d70214e69d30b8	3519283922604994744	202895299	148176371712	23552	a80144e2d0d172dcb3d5c8a4108c072d66c677dac00d6738c3748589f0fcfb8a	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	85369077	178530549760	42565	50cd1f0d42217a4799303be85f3b3ca29fc1315473def629f7ea6f2d3882038c	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
