schema	grug_wp40_extreme_candidate_shard_v3
range	2560	3071	512
s1_authority_sha256	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c
s1_source_projection_sha256	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652
authority_dag_sha256	069cce2d637d30538131defbbba0a64bb9cc65f22c71a00fd287183d2518e20a
authority_commit	19fc28d1e1ecb2a18c7bb208d21c448cce12bc7d
authority_tree	bca04056315412b9f19f20bbe554b0693f658c17
interpreter_id	luajit
interpreter_launcher	/usr/bin/luajit
interpreter_path	/usr/bin/luajit-2.1.1767980792
interpreter_version	LuaJIT 2.1.1767980792 -- Copyright (C) 2005-2026 Mike Pall. https://luajit.org/
interpreter_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
measurement_scope	R7_SCALAR_MEASUREMENT_ONLY
stage2_status	pending_selected_four
scorer_schema	grug_wp40_extreme_selector_e0_v1
rows_sha256	380f77ba2a5892380717b8a25c8085c0a7e646933f6a103f33413e54dbc2e4a1
candidate_index	status	label	digest	first8	decimal	coast_n	coast_d	coast_count	coast_sequence_sha256	coast_identity_sha256	noncoast_n	noncoast_d	noncoast_count	noncoast_sequence_sha256	noncoast_identity_sha256
2560	scored	grudgelands-wp40-extreme-2560	0b73260a32fa9d7f65570df11f07f92dc719ca1aba06c9e5bc1c9c00e66cfd8c	0b73260a32fa9d7f	825044981985746303	159112465	148176371712	23552	55533fdbfb5dd05d07b25a1b138ea33462be71908f029f6afb90c9b5e9da2563	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-477032239	178530549760	42565	1dc5289c52518ea65d53a236074846d0203ac5b715787a398337b9c9dbd202a6	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2561	scored	grudgelands-wp40-extreme-2561	f3f698ce6b29a603d68e117065b96a9ce9e2fa56f876888b1aa53532024e5b62	f3f698ce6b29a603	17579406207815886339	-868541	6174015488	23552	ea9e9032d97616bed505fffd847a157cf5872d8a0a4f4b8f31c852b55dd7cf08	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	710230749	89265274880	42565	2f5d3e9089ad5d625611d284de74bf4ff26918543c1f9fcf6b95315497e6e900	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2562	scored	grudgelands-wp40-extreme-2562	53e3bb96040718c23b82252df9562e58d6e3ebc5525fafe2fd4ab6b90ab53dd6	53e3bb96040718c2	6044881377848400066	-3098659	18522046464	23552	bdf7efb26fce408a86bef46eeeaa7d0056c869415a170a7d15155ca9f7d05a3b	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	513464919	178530549760	42565	0f7d48134647b1225f6e1ff4019641f0e241cbe52a86852db5b0a0cb20e1970b	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2563	scored	grudgelands-wp40-extreme-2563	c7502af06ad3fec5fea1e689ba6e59489105cfa88f1b3c7e9317c00e68a6d10c	c7502af06ad3fec5	14362026423757307589	62775883	24696061952	23552	16b73033ec2e2c01426b0ea68dacaf9942c6a7a78a24581ecdcbca551eb3f222	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-604511679	89265274880	42565	de45866833d9e98c644669155aab2dd8d4617900275c03ca0db0d30f5505bdfd	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2564	scored	grudgelands-wp40-extreme-2564	c6a6c5c8395ee43416400a0ebcf9fd03ea634aa474d4050e64a036c3e33f338c	c6a6c5c8395ee434	14314345929390351412	-32766373	148176371712	23552	8e99d74a0a6ea6990c96ea41935f41e8b45609bc271d35ee309b2d5905a71840	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-160708251	44632637440	42565	e7b181fcbf4842f6ea207299f00b2a05bbc1862542840e2eb741ba21880fc1b8	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2565	scored	grudgelands-wp40-extreme-2565	f83f6fedfb35a9776193a04f01e83a41ee1c5b96a05a53ee7f78781e305a75b1	f83f6fedfb35a977	17888139312851429751	-220798573	148176371712	23552	af6107ef952a875e888eadc7fc123aedd08d75fabc2ca5330075d787fcc980a2	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-512662331	89265274880	42565	2ee8a44c23a20649e43f8fe8fe2bbb5dad35fba8cee0e8bd147228fb2b8e7d7d	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2566	scored	grudgelands-wp40-extreme-2566	b76273cf2310600cc45686c13386d98032c43661f68fa4c615bc152970f4ed28	b76273cf2310600c	13214251590142156812	-140031793	148176371712	23552	77359a2f0d8f83650986cc6fa169ce3efa3c6e9ef87e0d996a65d9c6ca7c3cfb	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	349908189	44632637440	42565	3a650273c846e47f74ae59645943bbb1dd49cd3c5b988e5c10c49619cd6f2be8	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2567	scored	grudgelands-wp40-extreme-2567	9790b0992a86e1b6d120dcde2579d19071b74d8d3d623141c067132700df8724	9790b0992a86e1b6	10921423268263420342	-70443349	148176371712	23552	ab33ef4ffe99ad1664b1031ce5bc917d322b284d44482816449f3eb20d69ef8a	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-9156323	1394769920	42565	ff06f2f0998b4588a34e6effe6988bc99e81a844d59e0573433bef45988fed0f	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2568	scored	grudgelands-wp40-extreme-2568	bb069bf92c2c5307375712171121ec121c3ce710ad7b90f6e6a5015d23bba56a	bb069bf92c2c5307	13476630429443052295	-66500425	74088185856	23552	e06fd34327f4cb55a81a2c45a330de819d68f6a536ec9d7e22dc6b738f56ff81	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	153474577	35706109952	42565	6b9ffe05a288573d9ee5afad01b2c8b742e6cadcc6fa482c501274d2b116b7b8	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2569	scored	grudgelands-wp40-extreme-2569	5424ac9218ae0297cd334a36419a14292d10135f9a3bd6567a1aef18bd8cfcba	5424ac9218ae0297	6063160741826790039	-642096913	148176371712	23552	607e61138cfdfc16e5e28c42737b50fbac4836d1861b4737feaaba6f008602e6	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-1111324937	178530549760	42565	fa2d87834269bd0267e9a55304af7ea22deb4c40cf5d6416558af5d0327e7328	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2570	scored	grudgelands-wp40-extreme-2570	f0de764c5cf5bb036b5e338a386a68675f354f26e644ed2896083e3953150378	f0de764c5cf5bb03	17356440084281670403	-13065037	148176371712	23552	2f52ea4553765232343d3e73b3bce78aff080b36b95ac240c8ec254e59dce2a7	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1814621839	178530549760	42565	98df17496af856898357684225107bcb8b339cc0a06e5127e8f5ae0537fd7a39	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2571	scored	grudgelands-wp40-extreme-2571	9c6c543a390ded1faaec315a3d21b0b8ff6be4185361a1607cd781ba42e95c80	9c6c543a390ded1f	11271476576443559199	71276699	37044092928	23552	ea912abae1bf2a3e121c5c7770490f73808a2a2158aaf6a41b1e9175a8d55253	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	-161271	1394769920	42565	1205fc91d8bee272170e958950e791a84db143f77381460934721c6734150e92	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2572	scored	grudgelands-wp40-extreme-2572	04d1f455b1a4c32e9bdc7c449bef2033cda533fffdd6ef7e68382617e7cd886f	04d1f455b1a4c32e	347327295174001454	-95569735	148176371712	23552	12b83f2e39423fc9d93490f688d25a384f0205e693e84ff0b936a3440def9c6f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	1349186537	178530549760	42565	ba8f2cdfeea8206d85531e310538a280805b187fa7dcca3ea1ae2a52afb6c2da	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2573	scored	grudgelands-wp40-extreme-2573	9791235f90953397ef3d5a6c2a1d370dcb34351b2d9b6d1e169c79aeff52c387	9791235f90953397	10921549464704725911	-172557835	148176371712	23552	a527f660c1d52c6db88f817e0d3688180726fad93d23d8f2b93a93bfa966f00f	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	163802125	35706109952	42565	7f6048f8bd424e71e919cc73c493f18f809a8ebb24d3e60d4f7417142e3083e2	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2574	scored	grudgelands-wp40-extreme-2574	2430355139075ad8e5099783a3e4b0acb2be30a011416810b0cbc4dd1de6fdf0	2430355139075ad8	2607642807212923608	-57282979	24696061952	23552	be13d402419cb320fde73f16a940800f819ba7c3052d524cadc3fccf4b3e2163	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	296055607	89265274880	42565	6df00d364c58b1cb026e9a6593f6dc9931682573362d0a79e08275c2af3aec62	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
2575	scored	grudgelands-wp40-extreme-2575	cedc16d1a6e15585d5f36f054873b45f5a3e28dd3ffa2ed798a6d975344959d7	cedc16d1a6e15585	14905813956393260421	-13403737	12348030976	23552	faddd20333fea0e15691b560358d4918153ffa40fc1c96d839ce8af747d451ad	0be6420d4f27c8e885f1c4af23ab98f0551c658e07715a1384e47629ba69a662	59207899	178530549760	42565	78a3f8bab06176c4b112e1e070091f6927a7193e1c994829077b0ffa6584024b	8070e4c25a86397aaa04e474b9d4917e4d79ac8def9998c111ae76747b32ca38
