schema	grug_wp40_census_occupied_classes_v3
scan_schema	grug_wp40_census_scan_v6
seed_set	explicit
seeds	7
column	occupied	family	site	branch	verdict	universal	seed_count	row_count	witness_seed
column	derived	family	site	branch	verdict	seed_count	row_count	witness_seed
column	witness	family	site	branch	witness_row (verbatim, from field 5)
column	no_branch_matched	family	site	branch	seed	reason	row (verbatim, from field 7)
occupied	attachment	perimeter_attachment:elandor:land_001	attachment_equality_select	DECIDED	-	7	7	0
occupied	attachment	perimeter_attachment:elandor:land_007	attachment_equality_select	DECIDED	-	7	7	0
occupied	attachment	perimeter_attachment:elandor:land_031	attachment_equality_select	DECIDED	-	7	7	0
occupied	attachment	perimeter_attachment:elandor:land_034	attachment_equality_select	DECIDED	-	7	7	0
occupied	attachment	perimeter_attachment:kragmar:land_010	attachment_equality_select	DECIDED	-	7	7	0
occupied	attachment	perimeter_attachment:kragmar:land_016	attachment_adjacent_select	DECIDED	-	7	7	0
occupied	attachment	perimeter_attachment:kragmar:land_037	attachment_equality_select	DECIDED	-	7	7	0
occupied	attachment	perimeter_attachment:kragmar:land_040	attachment_equality_select	DECIDED	-	7	7	0
occupied	edge	land_001	transition_interval_select	DECIDED	-	7	7	0
occupied	edge	land_002	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_003	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_004	transition_interval_select	DECIDED	-	7	7	0
occupied	edge	land_005	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_006	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_007	transition_interval_select	DECIDED	-	7	7	0
occupied	edge	land_008	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_009	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_010	transition_interval_select	DECIDED	-	7	7	0
occupied	edge	land_011	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_012	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_013	transition_interval_select	DECIDED	-	7	7	0
occupied	edge	land_014	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_015	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_016	transition_interval_select	DECIDED	-	7	7	0
occupied	edge	land_017	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_018	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_019	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_020	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_021	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_022	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_023	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_024	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_025	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_026	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_027	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_028	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_029	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_030	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_031	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_032	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_033	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_034	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_035	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_036	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_037	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_038	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_039	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_040	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_041	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_042	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_043	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_044	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_045	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_046	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_047	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_048	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_049	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_050	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_051	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_052	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_053	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_054	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_055	ordinary_interval_select	DECIDED	-	7	7	0
occupied	edge	land_056	ordinary_interval_select	DECIDED	-	7	7	0
