variant	owner	runs	plan_median_us	writer_median_us	callback_median_us	callback_min_us	callback_max_us
corrected	-1872,-32,-2592	3	344479	217633	569776	557093	659375
corrected	-1792,-32,-2592	3	234084	238969	523366	473053	573272
corrected	-1872,-32,-2512	3	262936	299237	607230	527731	643557
corrected	-32,-32,-1552	3	362638	196782	559420	511904	738179
corrected	-32,48,-272	3	372396	452534	813531	764460	872040
corrected	-752,-32,-32	3	452597	1210473	1663070	1256222	1804837
corrected	-432,-32,-1552	3	397778	3811534	4212483	3022266	4384470
corrected	-2752,-32,-32	3	122985	241900	364885	322069	441047
corrected	-3312,208,-112	3	469629	383947	883794	839824	1095409
corrected	-1712,-912,128	3	450772	18005420	18431586	14840746	18516048
prefix	-1872,-32,-2592	1	360536	319417	679953	679953	679953
prefix	-1792,-32,-2592	1	233685	327482	561167	561167	561167
prefix	-1872,-32,-2512	1	269746	396280	666026	666026	666026
prefix	-32,-32,-1552	1	391130	331627	722757	722757	722757
prefix	-32,48,-272	1	381923	365502	747425	747425	747425
prefix	-752,-32,-32	1	442594	657512	1100106	1100106	1100106
prefix	-432,-32,-1552	1	405212	1962174	2367386	2367386	2367386
prefix	-2752,-32,-32	1	122438	254086	376524	376524	376524
prefix	-3312,208,-112	1	562903	425203	988106	988106	988106
prefix	-1712,-912,128	1	470753	10409971	10880724	10880724	10880724
optimized	-1872,-32,-2592	3	344182	227468	575317	538342	602678
optimized	-1792,-32,-2592	3	260114	227931	493463	482828	504243
optimized	-1872,-32,-2512	3	256280	258434	514714	504076	549811
optimized	-32,-32,-1552	3	393183	219460	612643	518168	628448
optimized	-32,48,-272	3	361936	430205	762113	732444	837110
optimized	-752,-32,-32	3	440160	758193	1193085	1099128	1267255
optimized	-432,-32,-1552	3	399628	1914040	2312458	2079399	2736262
optimized	-2752,-32,-32	3	134769	253473	388242	373706	399474
optimized	-3312,208,-112	3	515910	272625	789140	788535	1133695
optimized	-1712,-912,128	3	422751	9589307	10116468	7389048	10157157
final	-1872,-32,-2592	3	353545	247484	601029	546906	667191
final	-1792,-32,-2592	3	239120	259373	491864	480167	599277
final	-1872,-32,-2512	3	303092	361812	639055	611707	724889
final	-32,-32,-1552	3	391179	293458	686848	554180	750478
final	-32,48,-272	3	343428	368254	711682	659478	772287
final	-752,-32,-32	3	425500	642870	1087324	1068370	1168893
final	-432,-32,-1552	3	408972	1679979	2102739	2062694	2132271
final	-2752,-32,-32	3	142785	217864	362604	358910	387999
final	-3312,208,-112	3	458128	445850	903978	873495	1009196
final	-1712,-912,128	3	430429	6575935	7006364	6949995	7530394
