kind	name	count	total	min	max	mean
metric	plan_us	10	3548980	147064	540834	354898.000
metric	writer_us	10	20053018	193822	14299912	2005301.800
metric	total_us	10	23601998	441047	14840746	2360199.800
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	4164	0	1459	416.400
metric	r5_runs	10	211426	0	25600	21142.600
metric	vm_get_emerged_area_us	10	26	1	6	2.600
metric	vm_get_data_us	10	40214	3867	4584	4021.400
metric	vm_get_param2_data_us	10	39665	3848	4384	3966.500
metric	vm_get_light_data_us	10	71402	0	8433	7140.200
metric	vm_set_data_us	10	71554	6900	8408	7155.400
metric	vm_set_param2_data_us	10	13698	0	6905	1369.800
metric	vm_set_lighting_us	10	2382	0	965	238.200
metric	vm_calc_lighting_us	10	37994	0	6787	3799.400
metric	vm_set_light_data_us	10	61328	0	7135	6132.800
metric	vm_update_liquids_us	10	8353	0	1015	835.300
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
