kind	name	count	total	min	max	mean
metric	plan_us	10	3496736	142785	503037	349673.600
metric	writer_us	10	10725535	202881	6575935	1072553.500
metric	total_us	10	14222271	358910	7006364	1422227.100
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	4164	0	1459	416.400
metric	r5_runs	10	211426	0	25600	21142.600
metric	vm_get_emerged_area_us	10	34	2	10	3.400
metric	vm_get_data_us	10	39101	3858	3938	3910.100
metric	vm_get_param2_data_us	10	38966	3858	3974	3896.600
metric	vm_get_light_data_us	10	70833	0	8213	7083.300
metric	vm_set_data_us	10	69797	6904	7069	6979.700
metric	vm_set_param2_data_us	10	13780	0	6929	1378.000
metric	vm_set_lighting_us	10	2012	0	676	201.200
metric	vm_calc_lighting_us	10	37980	0	6703	3798.000
metric	vm_set_light_data_us	10	60902	0	6820	6090.200
metric	vm_update_liquids_us	10	8443	0	1086	844.300
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
