schema	grug_wp40_r8_performance_hotpath_v1
order	forward
construction_cpu_seconds	3.852158
case	minp	plan_cpu_seconds	writer_cpu_seconds	classify_calls	modified_voxels	p9g_accepted	digest
human_capital	-32,-32,-1552	0.261574	0.274652	6712807	440939	0	10de49e0be9d3cf81b41310ac0cf760434395786b44fbd23e6ea2081d27921b4
cache	human_capital	hits	261890	misses	13455	evictions	0
goldmead_inland_housing	-32,-32,-2112	0.384399	0.561287	5976481	79216	0	a81537d3cd29c2a691627c4ab195d28909a98216245d4c399f83f8c331379c8d
cache	goldmead_inland_housing	hits	234604	misses	13456	evictions	0
wyrmglass_channel	-2752,-32,-32	0.114370	0.288633	6203972	160000	0	1f555895a01c3454fc570beb69681966653aa1c0f2bd7ef72d6a2fc30c70b936
cache	wyrmglass_channel	hits	114688	misses	13456	evictions	0
copperfell_shelf	-2672,-32,-2272	0.106339	0.248499	6203972	160000	0	1f555895a01c3454fc570beb69681966653aa1c0f2bd7ef72d6a2fc30c70b936
cache	copperfell_shelf	hits	108288	misses	13456	evictions	0
deep_cross_border_resource	-1712,-912,128	0.334705	0.110426	0	0	0	edfee2a36906001526e78ee8ac0c42c0800c24dcb658993e680c664825d5d053
cache	deep_cross_border_resource	hits	107771	misses	13456	evictions	1785
capital_high_slice	-32,208,-1552	0.320974	0.069542	2048080	0	0	edfee2a36906001526e78ee8ac0c42c0800c24dcb658993e680c664825d5d053
cache	capital_high_slice	hits	108288	misses	13456	evictions	13456
warm_cache	human_capital_to_high_slice	warmup_cpu_seconds	0.034717	warm_cpu_seconds	0.031495	warmup_hits	121744	warmup_misses	0	warm_hits	121744	warm_misses	0	entries	65536	limit	65536
canonical_digest	3eb29e82fde22b5f067c0b8ac29b034b568fc3db90b65f1f4b833a20b3f17637
lua_heap_bytes_after_collect	346176638
