kind	name	count	total	min	max	mean
metric	plan_us	10	3417466	139656	458128	341746.600
metric	writer_us	10	11579187	248343	6569963	1157918.700
metric	total_us	10	14996653	387999	6949995	1499665.300
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	4164	0	1459	416.400
metric	r5_runs	10	211426	0	25600	21142.600
metric	vm_get_emerged_area_us	10	26	2	4	2.600
metric	vm_get_data_us	10	38827	3856	3902	3882.700
metric	vm_get_param2_data_us	10	38837	3859	3945	3883.700
metric	vm_get_light_data_us	10	69894	0	7828	6989.400
metric	vm_set_data_us	10	69032	6859	7019	6903.200
metric	vm_set_param2_data_us	10	13639	0	6848	1363.900
metric	vm_set_lighting_us	10	1480	0	207	148.000
metric	vm_calc_lighting_us	10	37657	0	6770	3765.700
metric	vm_set_light_data_us	10	60415	0	6750	6041.500
metric	vm_update_liquids_us	10	8330	0	1011	833.000
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
