kind	name	count	total	min	max	mean
metric	plan_us	10	3498269	134769	522516	349826.900
metric	writer_us	10	11220743	223660	6988791	1122074.300
metric	total_us	10	14719012	388242	7389048	1471901.200
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	4164	0	1459	416.400
metric	r5_runs	10	211426	0	25600	21142.600
metric	vm_get_emerged_area_us	10	39	2	13	3.900
metric	vm_get_data_us	10	39206	3880	3979	3920.600
metric	vm_get_param2_data_us	10	38839	3834	3978	3883.900
metric	vm_get_light_data_us	10	70312	0	7887	7031.200
metric	vm_set_data_us	10	69708	6858	7111	6970.800
metric	vm_set_param2_data_us	10	13675	0	6874	1367.500
metric	vm_set_lighting_us	10	2297	0	840	229.700
metric	vm_calc_lighting_us	10	37810	0	6940	3781.000
metric	vm_set_light_data_us	10	60775	0	6850	6077.500
metric	vm_update_liquids_us	10	8407	0	1012	840.700
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
