kind	name	count	total	min	max	mean
metric	plan_us	10	3502869	128804	515910	350286.900
metric	writer_us	10	14197451	219460	9693717	1419745.100
metric	total_us	10	17700320	373706	10116468	1770032.000
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	4164	0	1459	416.400
metric	r5_runs	10	211426	0	25600	21142.600
metric	vm_get_emerged_area_us	10	25	2	4	2.500
metric	vm_get_data_us	10	38955	3853	3939	3895.500
metric	vm_get_param2_data_us	10	38819	3844	3939	3881.900
metric	vm_get_light_data_us	10	70638	0	8069	7063.800
metric	vm_set_data_us	10	70216	6924	7594	7021.600
metric	vm_set_param2_data_us	10	13625	0	6820	1362.500
metric	vm_set_lighting_us	10	1641	0	305	164.100
metric	vm_calc_lighting_us	10	39123	0	6766	3912.300
metric	vm_set_light_data_us	10	63673	0	9463	6367.300
metric	vm_update_liquids_us	10	8907	0	1342	890.700
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
