kind	name	count	total	min	max	mean
metric	plan_us	10	3538539	145274	498367	353853.900
metric	writer_us	10	15251590	218543	9940491	1525159.000
metric	total_us	10	18790129	402082	10438551	1879012.900
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	4164	0	1459	416.400
metric	r5_runs	10	211426	0	25600	21142.600
metric	vm_get_emerged_area_us	10	38	2	10	3.800
metric	vm_get_data_us	10	39263	3853	4099	3926.300
metric	vm_get_param2_data_us	10	38712	3841	3961	3871.200
metric	vm_get_light_data_us	10	70707	0	8175	7070.700
metric	vm_set_data_us	10	69610	6851	7282	6961.000
metric	vm_set_param2_data_us	10	13587	0	6822	1358.700
metric	vm_set_lighting_us	10	2236	0	809	223.600
metric	vm_calc_lighting_us	10	37977	0	7044	3797.700
metric	vm_set_light_data_us	10	63024	0	9067	6302.400
metric	vm_update_liquids_us	10	8698	0	1266	869.800
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
